"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplfair","lrscale","trstplc","trstun","imbgeco","imwbcnt"
"ESS1e06_7",1,"6.7","23.11.2023",100102,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,7,3,7,8,9,9
"ESS1e06_7",1,"6.7","23.11.2023",100104,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,7,5,6,7,5,4
"ESS1e06_7",1,"6.7","23.11.2023",100106,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,4,6,8,6,1,2
"ESS1e06_7",1,"6.7","23.11.2023",100110,"GB",1.0512,1.9455812,2.3268416,4.527059,,,,4,7,9,6,6,6
"ESS1e06_7",1,"6.7","23.11.2023",100112,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,5,5,6,6,3,6
"ESS1e06_7",1,"6.7","23.11.2023",100114,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,5,5,4,5,3,1
"ESS1e06_7",1,"6.7","23.11.2023",100115,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,4,8,8,4,7,3
"ESS1e06_7",1,"6.7","23.11.2023",100117,"GB",1.0512,1.5430702,2.3268416,3.5904799,,,,6,5,7,6,2,4
"ESS1e06_7",1,"6.7","23.11.2023",100118,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,0,88,3,0,0,1
"ESS1e06_7",1,"6.7","23.11.2023",100119,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,5,3,2,3,0,0
"ESS1e06_7",1,"6.7","23.11.2023",100122,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,5,0,8,2,6,2
"ESS1e06_7",1,"6.7","23.11.2023",100124,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,3,88,0,0,7,6
"ESS1e06_7",1,"6.7","23.11.2023",100205,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,3,5,7,7,1,5
"ESS1e06_7",1,"6.7","23.11.2023",100206,"GB",1.5768,2.483701,2.3268416,5.7791786,,,,3,1,3,4,5,6
"ESS1e06_7",1,"6.7","23.11.2023",100207,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,4,5,6,7,6,6
"ESS1e06_7",1,"6.7","23.11.2023",100211,"GB",1.0512,1.7785715,2.3268416,4.138454,,,,5,8,3,1,0,0
"ESS1e06_7",1,"6.7","23.11.2023",100215,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,5,5,6,4,8,7
"ESS1e06_7",1,"6.7","23.11.2023",100216,"GB",1.5768,2.3146055,2.3268416,5.3857203,,,,5,4,2,1,8,10
"ESS1e06_7",1,"6.7","23.11.2023",100217,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,3,5,8,3,5,1
"ESS1e06_7",1,"6.7","23.11.2023",100219,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,3,0,5,4,3,5
"ESS1e06_7",1,"6.7","23.11.2023",100220,"GB",1.5768,2.3146055,2.3268416,5.3857203,,,,3,8,10,8,1,0
"ESS1e06_7",1,"6.7","23.11.2023",100221,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,1,5,9,3,0,0
"ESS1e06_7",1,"6.7","23.11.2023",100301,"GB",0.5256,0.8279003,2.3268416,1.9263928,,,,0,4,0,5,5,8
"ESS1e06_7",1,"6.7","23.11.2023",100302,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,5,3,7,9,5,5
"ESS1e06_7",1,"6.7","23.11.2023",100304,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,3,5,7,0,1,1
"ESS1e06_7",1,"6.7","23.11.2023",100305,"GB",0.5256,0.81613564,2.3268416,1.8990184,,,,8,5,8,8,8,8
"ESS1e06_7",1,"6.7","23.11.2023",100310,"GB",0.5256,0.81613564,2.3268416,1.8990184,,,,0,6,4,5,6,8
"ESS1e06_7",1,"6.7","23.11.2023",100313,"GB",0.5256,0.8082622,2.3268416,1.8806982,,,,4,88,6,1,77,77
"ESS1e06_7",1,"6.7","23.11.2023",100314,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,7,5,8,7,7,5
"ESS1e06_7",1,"6.7","23.11.2023",100317,"GB",0.5256,0.8279003,2.3268416,1.9263928,,,,9,4,10,3,8,8
"ESS1e06_7",1,"6.7","23.11.2023",100320,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,9,2,9,9,5,10
